SIL word1
<SPOKEN_NOISE> word2
啊 word3
啊 word4
啊 word5
啊 word6
啊啊啊 word7
啊啊啊 word8
阿 word9
阿 word10
阿尔 word11
阿根廷 word12
阿九 word13
阿克 word14
阿拉伯数字 word15
阿拉法特 word16
阿拉木图 word17
阿婆 word18
阿文 word19
阿亚 word20
阿亚 word21
阿育王 word22
阿扎尔 word23
阿兹特克 word24
埃 word25
埃米尔 word26
埃塞俄比亚 word27
埃斯 word28
挨 word29
挨 word30
挨斗 word31
挨斗 word32
挨罚 word33
挨罚 word34
唉 word35
唉 word36
哀 word37
哀思 word38
癌 word39
癌症 word40
矮 word41
矮小 word42
艾 word43
艾迪 word44
艾森豪威尔 word45
艾滋病 word46
爱 word47
爱吃 word48
爱达 word49
爱尔兰 word50
爱岗 word51
爱国 word52
爱国主义 word53
爱好者 word54
爱花 word55
爱乐 word56
爱情 word57
爱玩 word58
爱惜 word59
爱子 word60
爱祖国 word61
爱妃 word62
隘 word63
安 word64
安保 word65
安达市 word66
安第斯 word67
安东 word68
安哥拉 word69
安好 word70
安静 word71
安民 word72
安宁 word73
安排 word74
安全 word75
安全模式 word76
安全生产 word77
安然 word78
安慰 word79
安息 word80
安详 word81
安心 word82
安岳县 word83
安葬 word84
安装 word85
按 word86
按计划 word87
按喇叭 word88
按年 word89
按压 word90
按照 word91
暗 word92
暗号 word93
暗盒 word94
暗红色 word95
暗中 word96
岸 word97
岸边 word98
案 word99
案发 word100
案犯 word101
肮脏 word102
昂首 word103
昂首阔步 word104
昂扬 word105
盎然 word106
敖 word107
熬 word108
傲雪 word109
奥 word110
奥地利 word111
奥尔 word112
奥尼尔 word113
奥斯卡 word114
奥斯维辛 word115
奥运 word116
奥运会 word117
懊丧 word118
澳 word119
澳大利亚 word120
澳门 word121
芭蕾舞团 word122
扒 word123
八 word124
八百 word125
八度 word126
八段 word127
八二年 word128
八路军 word129
八旗 word130
八千 word131
八强 word132
八日 word133
八十 word134
八十分 word135
八十分 word136
八十年代 word137
八十五 word138
八十五 word139
八四年 word140
八位 word141
八一 word142
八月 word143
八卦 word144
巴 word145
巴尔 word146
巴拿马 word147
巴中 word148
拔牙 word149
把 word150
把玩 word151
坝 word152
霸王 word153
罢了 word154
爸 word155
白 word156
白白 word157
白帆 word158
白宫 word159
白骨 word160
白棉 word161
白求恩 word162
白色 word163
白薯 word164
白藤 word165
白天 word166
白银 word167
白玉 word168
白云 word169
白昼 word170
柏林 word171
柏油 word172
百般 word173
百变 word174
百草园 word175
百出 word176
百分点 word177
百分之二十 word178
百合 word179
百花 word180
百米 word181
百年 word182
百人 word183
百万富翁 word184
百姓 word185
百业 word186
百余 word187
摆 word188
败家 word189
稗 word190
斑块 word191
班 word192
班房 word193
班子 word194
班组 word195
搬迁 word196
搬运工 word197
般 word198
颁布 word199
板 word200
版 word201
拌 word202
拌菜 word203
伴 word204
半 word205
半点 word206
半个 word207
半个 word208
半截 word209
半年 word210
半小时 word211
半夜 word212
办 word213
办案 word214
办法 word215
办起 word216
邦 word217
帮 word218
帮助 word219
榜首 word220
榜样 word221
棒 word222
棒冰 word223
蚌 word224
傍 word225
傍晚 word226
包 word227
包庇 word228
包袱 word229
包括 word230
包罗万象 word231
包头 word232
包围 word233
包装 word234
包装物 word235
褒 word236
薄 word237
薄 word238
薄 word239
薄板 word240
保 word241
保长 word242
保持 word243
保存 word244
保存在 word245
保定市 word246
保护 word247
保护伞 word248
保留 word249
保税区 word250
保险 word251
保养 word252
保障 word253
保证 word254
保重 word255
饱 word256
宝 word257
宝贝 word258
抱 word259
抱住 word260
抱着 word261
报 word262
报道 word263
报复 word264
报告 word265
报社 word266
报时 word267
报纸 word268
暴躁 word269
鲍鱼 word270
爆炸 word271
杯 word272
碑 word273
悲伤 word274
悲壮 word275
卑鄙无耻 word276
北 word277
北爱尔兰 word278
北冰洋 word279
北部 word280
北城 word281
北方 word282
北京 word283
北纬 word284
北园 word285
